title, year, country, GDP_t_min_2, GDP_t_min_1, GDP_t_plus_1, GDP_t_plus_2
Economic Outlook No 112 - November 2022,2022,Netherlands,-3.87931489914732,4.87075622585095,0.815621118300837,1.14395466352404
Economic Outlook No 110 - December 2021.,2021,Netherlands,1.90783957189022,-3.80539435418048,3.23918335126734,1.84019330788262
Economic Outlook No 108 - December 2020.,2020,Netherlands,2.31674215622417,1.62994029384689,0.822623222738214,2.94653895695253
Economic Outlook No 106 - November 2019.,2019,Netherlands,3.01909973201074,2.5466839264074,1.75493116313931,1.57001516191576
Economic Outlook No 104 - November 2018.,2018,Netherlands,2.14176108083514,2.96135415100282,2.45109754456779,2.09310784998137
Economic Outlook No 102 - November 2017,2017,Netherlands,2.26021114168882,2.14548423538141,3.09692417459169,2.36772900702407
Economic Outlook No 100 - November 2016,2016,Netherlands,1.41914242750983,1.95112092390042,1.99886479615057,1.85645707571094
Economic Outlook No 98 - November 2015 ,2015,Netherlands,-0.412335533503195,1.01078185708261,2.45284333475056,2.70127823162305
Economic Outlook No 96 - November 2014 - OECD Annual Projections,2014,Netherlands,-1.60478694989246,-0.681096909501011,1.43912068981058,1.62582861252465
Economic Outlook No 94 - November 2013 - OECD Annual Projections,2013,Netherlands,0.944940559556562,-1.20090543942056,-0.104160645432994,0.867113536509212
Economic Outlook No 92 - December 2012 - OECD Annual Projections,2012,Netherlands,1.56928515884023,1.07494421601451,0.191508422454101,1.46379216857195
Economic Outlook No 90 - December 2011 - OECD Annual Projections,2011,Netherlands,-3.52663831371508,1.6347664650153,0.250850583948958,1.54527149474026
Economic Outlook No 88 - December 2010 - Annual Projections for OECD Countries,2010,Netherlands,1.88166941593595,-3.91530753057262,1.66064586771717,1.8276375918405
Economic Outlook No 112 - November 2022,2022,United States,-2.76795573514987,5.94662332484307,0.544245747608946,1.03212417873473
Economic Outlook No 110 - December 2021.,2021,United States,2.28886917147139,-3.40458905099056,3.73307557531242,2.43913309784739
Economic Outlook No 108 - December 2020.,2020,United States,2.99646225311833,2.16117762692702,3.19202053536274,3.45936913141943
Economic Outlook No 106 - November 2019.,2019,United States,2.36979959780122,2.92732695067669,1.99815176497228,1.98357848726385
Economic Outlook No 104 - November 2018.,2018,United States,1.56721804597767,2.21701026731836,2.71455947190548,2.12865563484453
Economic Outlook No 102 - November 2017,2017,United States,2.86158537451644,1.48527917094457,2.54408958092276,2.14691615491187
Economic Outlook No 100 - November 2016,2016,United States,2.37042564536972,2.59631779004833,2.26696779187602,2.99812139301319
Economic Outlook No 98 - November 2015 ,2015,United States,1.48945350342324,2.42775530896006,2.51937206359114,2.38919143524861
Economic Outlook No 96 - November 2014 - OECD Annual Projections,2014,United States,2.32081661321222,2.21937742266583,3.06814616615496,3.01069803814513
Economic Outlook No 94 - November 2013 - OECD Annual Projections,2013,United States,1.84734105356461,2.7792956261055,2.85404148557176,3.37694569334694
Economic Outlook No 92 - December 2012 - OECD Annual Projections,2012,United States,2.39086216829507,1.80758977185522,2.0104895214976,2.8132027029534
Economic Outlook No 90 - December 2011 - OECD Annual Projections,2011,United States,-3.48581229569382,3.02956949569495,1.99149506759051,2.47058728224645
Economic Outlook No 88 - December 2010 - Annual Projections for OECD Countries,2010,United States,0.0,-2.63250395914989,2.22811707656803,3.13291957175779
Economic Outlook No 112 - November 2022,2022,France,-7.90234026379249,6.76555108633729,0.631925664290373,1.18765795526344
Economic Outlook No 110 - December 2021.,2021,France,1.83885569120773,-7.98695136722618,4.18699701587915,2.08727733000333
Economic Outlook No 108 - December 2020.,2020,France,1.80686599295824,1.4872594858375,6.02796386630174,3.26839510340893
Economic Outlook No 106 - November 2019.,2019,France,2.38166354016792,1.71907881746234,1.19690967001619,1.22405882214715
Economic Outlook No 104 - November 2018.,2018,France,1.11054878722073,2.29389650254953,1.60416273005775,1.4667867258038
Economic Outlook No 102 - November 2017,2017,France,0.975685630921063,1.11901078378441,1.79662549491266,1.67263471021876
Economic Outlook No 100 - November 2016,2016,France,0.665879845962097,1.2094760080577,1.28800995187177,1.58961079865777
Economic Outlook No 98 - November 2015 ,2015,France,0.746252184678855,0.171211082803711,1.33751406891096,1.62467164712024
Economic Outlook No 96 - November 2014 - OECD Annual Projections,2014,France,0.366741810234039,0.383874626693537,0.764173515392397,1.45179998233813
Economic Outlook No 94 - November 2013 - OECD Annual Projections,2013,France,2.02658266791986,0.049519878496485,0.993603452713443,1.57081709142972
Economic Outlook No 92 - December 2012 - OECD Annual Projections,2012,France,1.57351003713717,1.69804818800667,0.325393417513631,1.26259631824792
Economic Outlook No 90 - December 2011 - OECD Annual Projections,2011,France,-2.63206351131313,1.38440152957773,0.306903545900861,1.36485219073352
Economic Outlook No 88 - December 2010 - Annual Projections for OECD Countries,2010,France,0.091212374133032,-2.5473521618358,1.6065973810484,2.04454630098214
Economic Outlook No 112 - November 2022,2022,Germany,-4.06308980786212,2.58141339025568,-0.296399900638457,1.48713752959221
Economic Outlook No 110 - December 2021.,2021,Germany,1.08704712071846,-4.92762442973933,4.05178027414536,2.35020466345614
Economic Outlook No 108 - December 2020.,2020,Germany,1.29523658461131,0.589968760145962,2.79897195605192,3.30741566590569
Economic Outlook No 106 - November 2019.,2019,Germany,2.76847138011856,1.5448021578828,0.443221073004021,0.925766859517787
Economic Outlook No 104 - November 2018.,2018,Germany,2.15701605114293,2.45587970466416,1.60787350903847,1.37019239998727
Economic Outlook No 102 - November 2017,2017,Germany,1.50427411571374,1.8553500009344,2.29012881898012,1.89700675813759
Economic Outlook No 100 - November 2016,2016,Germany,1.59055752474827,1.48584536921588,1.65416225707487,1.73512360514014
Economic Outlook No 98 - November 2015 ,2015,Germany,0.405729595714081,1.58290443899702,1.8055876668519,2.02468396486734
Economic Outlook No 96 - November 2014 - OECD Annual Projections,2014,Germany,0.584920982514014,0.213863344589682,1.07852961663499,1.83162170737732
Economic Outlook No 94 - November 2013 - OECD Annual Projections,2013,Germany,3.39909587899785,0.896139901804083,1.65701260975126,1.96218395519268
Economic Outlook No 92 - December 2012 - OECD Annual Projections,2012,Germany,4.02416491236426,3.0957283032254,0.559314279326562,1.94375207472246
Economic Outlook No 90 - December 2011 - OECD Annual Projections,2011,Germany,-5.0779242242345,3.56151291918356,0.593948358325136,1.94552656787206
Economic Outlook No 88 - December 2010 - Annual Projections for OECD Countries,2010,Germany,0.703391280235288,-4.66936003281557,2.54201435464714,2.22567854095474
